epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,630.312,1.28201,2.81067,1.10184,0.85491,0.4205,0.77524,0.63137,0.84474,2.47829,0.88743,0.000235133,0.000235133,0.000235133
2,1262.21,0.82825,1.0714,0.93934,0.96564,0.89865,0.95335,0.8388,0.57833,0.90036,0.83159,0.000463765,0.000463765,0.000463765
3,1903.18,0.69998,0.82038,0.90069,0.98497,0.91701,0.96314,0.85877,0.53643,0.73268,0.82466,0.000682972,0.000682972,0.000682972
4,2631.86,0.65495,0.73101,0.89274,0.98711,0.91766,0.96633,0.87039,0.48246,0.66967,0.81153,0.000671588,0.000671588,0.000671588
5,3380.83,0.62519,0.67881,0.8885,0.98892,0.93515,0.97667,0.90328,0.42138,0.58873,0.80377,0.000657451,0.000657451,0.000657451
6,3975.33,0.55368,0.61414,0.86953,0.98688,0.93217,0.97237,0.89751,0.41967,0.57185,0.80301,0.000643314,0.000643314,0.000643314
7,4569.4,0.54494,0.58353,0.86488,0.98589,0.94303,0.97853,0.90403,0.41496,0.52637,0.80045,0.000629177,0.000629177,0.000629177
8,5156.73,0.53908,0.56462,0.86729,0.99111,0.93523,0.97437,0.90668,0.41433,0.51564,0.79859,0.00061504,0.00061504,0.00061504
9,6011.09,0.51911,0.54111,0.86244,0.98728,0.9355,0.97724,0.92551,0.34526,0.4698,0.7918,0.000600902,0.000600902,0.000600902
10,6984.07,0.49041,0.52239,0.86042,0.98332,0.94259,0.97857,0.92918,0.35172,0.4672,0.79146,0.000586765,0.000586765,0.000586765
1,513.768,1.28201,2.81067,1.10184,0.85491,0.4205,0.77524,0.63137,0.84474,2.47829,0.88743,0.000235133,0.000235133,0.000235133
2,1038.26,0.82825,1.0714,0.93934,0.96564,0.89865,0.95335,0.8388,0.57833,0.90036,0.83159,0.000463765,0.000463765,0.000463765
3,1594.06,0.69998,0.82038,0.90069,0.98497,0.91701,0.96314,0.85877,0.53643,0.73268,0.82466,0.000682972,0.000682972,0.000682972
4,2156.21,0.65495,0.73101,0.89274,0.98711,0.91766,0.96633,0.87039,0.48246,0.66967,0.81153,0.000671588,0.000671588,0.000671588
5,2699.97,0.62519,0.67881,0.8885,0.98892,0.93515,0.97667,0.90328,0.42138,0.58873,0.80377,0.000657451,0.000657451,0.000657451
6,3284.36,0.55368,0.61414,0.86953,0.98688,0.93217,0.97237,0.89751,0.41967,0.57185,0.80301,0.000643314,0.000643314,0.000643314
7,3854.15,0.54494,0.58353,0.86488,0.98589,0.94303,0.97853,0.90403,0.41496,0.52637,0.80045,0.000629177,0.000629177,0.000629177
8,4418.24,0.53908,0.56462,0.86729,0.99111,0.93523,0.97437,0.90668,0.41433,0.51564,0.79859,0.00061504,0.00061504,0.00061504
9,4986.42,0.51911,0.54111,0.86244,0.98728,0.9355,0.97724,0.92551,0.34526,0.4698,0.7918,0.000600902,0.000600902,0.000600902
10,5562.75,0.49041,0.52239,0.86042,0.98332,0.94259,0.97857,0.92918,0.35172,0.4672,0.79146,0.000586765,0.000586765,0.000586765
11,6153.63,0.47885,0.49715,0.85725,0.99255,0.93647,0.97967,0.93559,0.34094,0.43914,0.78941,0.000572628,0.000572628,0.000572628
12,6741,0.46878,0.47603,0.85004,0.9891,0.94666,0.98085,0.93882,0.33785,0.41252,0.78902,0.000558491,0.000558491,0.000558491
13,7304.87,0.45249,0.45589,0.84977,0.9975,0.934,0.98237,0.92635,0.36387,0.40546,0.79526,0.000544354,0.000544354,0.000544354
14,7855.74,0.43491,0.43307,0.84441,0.9818,0.94747,0.98187,0.94745,0.30906,0.38302,0.78436,0.000530216,0.000530216,0.000530216
15,8405.54,0.4463,0.43447,0.84458,0.98711,0.94045,0.98089,0.9353,0.34293,0.39305,0.79155,0.000516079,0.000516079,0.000516079
